,p.value,HR,Low 95%CI,High 95%CI
ADGRL2,0.0052620786852818,0.66077655062208,0.493932954986658,0.883977563035469
CCN2,0.00817751290999751,0.72170882780562,0.566752466879471,0.919031962931592
CELSR3,0.0033656286270223,3.04277437498976,1.44623721772318,6.40176852291906
DNM1,0.00771803060575999,1.82507657477847,1.17236407334724,2.84118609528435
F3,0.00101009536961533,0.662124409516661,0.517836478305993,0.846616165612668
KMT5C,0.00947125777795759,2.29251005334616,1.22497523679493,4.29037435764348
NTF3,0.00711748447049034,0.0681483304449414,0.00963623182456089,0.4819513505887
STARD9,0.00927314610649732,2.82632829169265,1.29215289770322,6.18203281254179
TMEM130,0.00554174736665388,0.638916034102581,0.46555089581837,0.876840109856927
